,accession,assembly,biological_replicates,file_format,file_size,output_type,status,url,organism,cell_line,target
4,ENCFF262IHL,GRCh38,[1],bigWig,607211437,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/02/17/089daddc-1f8e-41d9-90c7-4facae2dcc8e/ENCFF262IHL.bigWig,human,H9,H2BK15ac
0,ENCFF515VXR,GRCh38,"[1, 2]",bigWig,2041906989,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/11/01/6eff1c34-5faa-4592-9602-26e9a4abab1b/ENCFF515VXR.bigWig,human,MCF-7,H3K27ac
1,ENCFF808MPN,hg19,[2],bigWig,789187874,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/11/07/b48c0e5e-5fb1-4cc8-a4eb-4e202bf95a26/ENCFF808MPN.bigWig,human,MCF-7,H3K27ac
2,ENCFF212JTP,hg19,"[1, 2]",bigWig,2009538508,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/11/07/5a1e7a14-eca0-41bc-8830-4ee2e6294967/ENCFF212JTP.bigWig,human,MCF-7,H3K27ac
0,ENCFF295UCA,GRCh38,[1],bigWig,464786505,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/12/16/93285833-a6e4-4b70-b73f-20dc4141c56a/ENCFF295UCA.bigWig,human,HepG2,HNF4G
1,ENCFF603TXA,GRCh38,[2],bigWig,395292550,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/12/16/9f25b61b-3499-49b4-abe1-bcb6f242b2f3/ENCFF603TXA.bigWig,human,HepG2,HNF4G
2,ENCFF870IIO,GRCh38,"[1, 2]",bigWig,703819082,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/12/16/d6c98cc0-fa57-412a-9fa4-0e46e597b33f/ENCFF870IIO.bigWig,human,HepG2,HNF4G
0,ENCFF879EKO,hg19,[2],bigWig,1314933732,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/11/27/636aec6c-1641-40c4-8284-b2a43b692890/ENCFF879EKO.bigWig,human,HEK293,ZNF213
1,ENCFF476DMR,GRCh38,[2],bigWig,1314911542,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/11/27/fefc43cc-f7c6-4ca4-9454-8a9e565b0965/ENCFF476DMR.bigWig,human,HEK293,ZNF213
2,ENCFF448EVU,hg19,"[1, 2]",bigWig,1872168118,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/11/27/5f764c72-73d0-4c6b-9d01-45792d96fffb/ENCFF448EVU.bigWig,human,HEK293,ZNF213
3,ENCFF348EOC,GRCh38,"[1, 2]",bigWig,1883575682,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/11/27/f2ff39ab-2c9f-4f94-b0f4-bce27e94bf58/ENCFF348EOC.bigWig,human,HEK293,ZNF213
0,ENCFF203SUX,hg19,"[1, 2]",bigWig,1968070243,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/12/16/90834e81-dd7d-41db-b1ce-466571092c45/ENCFF203SUX.bigWig,human,HEK293,ZNF223
1,ENCFF263BSM,GRCh38,"[1, 2]",bigWig,1982775264,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/12/16/329e84c6-e48c-49ee-8abb-2a3f30505900/ENCFF263BSM.bigWig,human,HEK293,ZNF223
0,ENCFF024OKZ,GRCh38,[3],bigWig,1190216089,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/10/31/7a1e407b-4910-4fe2-8dd4-a56f008be798/ENCFF024OKZ.bigWig,human,A549,ZC3H11A
1,ENCFF539BSO,GRCh38,"[2, 3]",bigWig,2199157408,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/10/31/d92a4861-51d9-4de2-8571-97350ed3b8d3/ENCFF539BSO.bigWig,human,A549,ZC3H11A
2,ENCFF130XTI,hg19,[2],bigWig,1642942885,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/03/05/36742391-1953-45be-a533-c0ef9e92fe44/ENCFF130XTI.bigWig,human,A549,ZC3H11A
3,ENCFF948JFR,hg19,[3],bigWig,1188371459,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/03/05/1cc446f8-c69a-4f5c-9c9b-0479a3b81808/ENCFF948JFR.bigWig,human,A549,ZC3H11A
