accession,assembly,biological_replicates,file_format,file_size,output_type,status,url,organism,cell_line,target
ENCFF643ALW,hg19,"[1, 2]",bigWig,2414374710,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/11/21/0bcfab0f-f19b-494b-a0ee-98d522f26319/ENCFF643ALW.bigWig,human,HEK293,eGFP-ZNF189
ENCFF195FLW,hg19,"[1, 2]",bigWig,2409464037,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/04/12/ef1e8e2f-b7ae-466d-a22c-6e1a317b542b/ENCFF195FLW.bigWig,human,MCF-7,HES1
ENCFF837LSG,hg19,"[1, 2]",bigWig,2406397726,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/09/16/3ee4ef5b-e332-4599-890b-1cd56596a2ce/ENCFF837LSG.bigWig,human,HEK293,eGFP-ZNF362
ENCFF407PLR,hg19,"[1, 2]",bigWig,2404249113,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/11/17/4c31509a-f9eb-4efe-8693-537129d9c383/ENCFF407PLR.bigWig,human,GM12878,BMI1
ENCFF188FHJ,hg19,"[1, 2]",bigWig,2404224839,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/09/17/747802c2-525b-4c2d-95e8-3572190703e5/ENCFF188FHJ.bigWig,human,MCF-7,ZNF574
ENCFF156KTG,hg19,"[3, 4]",bigWig,2402920445,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/09/17/0597b8d3-19dc-469a-ad7a-fce0dc9114ad/ENCFF156KTG.bigWig,human,K562,RFX1
ENCFF786WZY,hg19,"[1, 2]",bigWig,2402606295,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/06/24/a2d1b362-7a5f-4282-b17f-e299230f87d3/ENCFF786WZY.bigWig,human,MCF-7,ELF1
ENCFF694WYQ,hg19,"[1, 2]",bigWig,2402517284,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/02/02/5c8a826f-37ae-46c0-bcb4-c70fa01fae20/ENCFF694WYQ.bigWig,human,K562,ARHGAP35
ENCFF061HZW,hg19,"[1, 2]",bigWig,2402341370,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/03/14/8d6f64c8-bdd6-420c-bd14-661c3ab1f6e6/ENCFF061HZW.bigWig,human,HEK293,eGFP-ZNF555
ENCFF458WXS,hg19,"[1, 2]",bigWig,2401151390,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/09/17/20f8b1b0-8411-4674-b9a9-ba2750203a11/ENCFF458WXS.bigWig,human,K562,ZNF830
ENCFF446MIL,hg19,"[1, 2]",bigWig,2398136382,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/11/16/1c8b8502-b1c6-4bb9-966c-c45ed67a5adc/ENCFF446MIL.bigWig,human,K562,TOE1
ENCFF487HQU,hg19,"[3, 4]",bigWig,2397303644,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/05/23/8fb00f78-c7d1-437d-928b-83862bca8be7/ENCFF487HQU.bigWig,human,GM12878,RB1
ENCFF513OEY,hg19,"[1, 2]",bigWig,2392303067,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/06/13/b6fc7b83-51fa-4b4c-acc6-06c856fe67b6/ENCFF513OEY.bigWig,human,HepG2,ZNF282
ENCFF534OEO,hg19,"[1, 2]",bigWig,2387591928,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/04/12/9510b2b5-8aa3-415a-b1ee-84d34fc35e50/ENCFF534OEO.bigWig,human,GM12878,BCLAF1
ENCFF614XPW,hg19,"[1, 2]",bigWig,2384348165,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/02/16/b57c5fb7-f192-4ceb-a553-ba88fc89fc11/ENCFF614XPW.bigWig,human,HEK293,eGFP-ZNF311
ENCFF082CZO,hg19,"[1, 2]",bigWig,2382085231,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/06/24/2c10c217-9d1d-4dc9-be25-bd6e8912aa28/ENCFF082CZO.bigWig,human,GM12878,ZNF687
