accession,assembly,biological_replicates,file_format,file_size,output_type,status,url,organism,cell_line,target
ENCFF130UBB,hg19,"[1, 2]",bigWig,766171322,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/08/16/65e8a721-69c0-4dba-aa09-e6ad092a0566/ENCFF130UBB.bigWig,human,K562,SRSF7
ENCFF961PBU,hg19,"[1, 2]",bigWig,761851649,fold change over control,released,https://encode-public.s3.amazonaws.com/2018/11/19/8cc542d6-66d2-4435-ae67-676de7b89c6e/ENCFF961PBU.bigWig,human,HepG2,3xFLAG-MIER3
ENCFF349SCM,hg19,"[1, 2]",bigWig,758590447,fold change over control,released,https://encode-public.s3.amazonaws.com/2018/11/19/206ce2a4-698c-4642-895d-71a9a9279195/ENCFF349SCM.bigWig,human,HepG2,3xFLAG-KLF9
ENCFF979WBU,hg19,"[1, 2]",bigWig,751858570,fold change over control,released,https://encode-public.s3.amazonaws.com/2018/11/19/19ced4cd-ec6a-495a-b4b3-20784d35ff49/ENCFF979WBU.bigWig,human,HepG2,3xFLAG-KDM6A
ENCFF013EQH,hg19,"[3, 4]",bigWig,749961537,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/04/23/8fe4ac0e-48ca-45eb-b495-a89cb0ce1360/ENCFF013EQH.bigWig,human,MCF-7,eGFP-KLF9
ENCFF381QKO,hg19,"[1, 2]",bigWig,749663617,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/12/08/5ad7be4b-446e-49dc-8e5e-dbbf0fca698b/ENCFF381QKO.bigWig,human,GM12878,EBF1
ENCFF529FLT,hg19,"[1, 2]",bigWig,748362824,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/09/06/9ee5e27c-7302-4476-b68d-20eab7310ccb/ENCFF529FLT.bigWig,human,GM12878,GABPA
ENCFF312PLO,hg19,"[1, 2]",bigWig,737984779,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/04/23/d9ab2bb4-6b40-4701-b8c3-18d0fa1ef89b/ENCFF312PLO.bigWig,human,K562,eGFP-ZNF639
ENCFF682WFZ,hg19,"[1, 2]",bigWig,736357173,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/12/09/2487d5e1-a6c2-49f8-93c1-a661881f28fd/ENCFF682WFZ.bigWig,human,HepG2,RFX5
ENCFF654ERB,hg19,"[1, 2]",bigWig,735435646,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/12/09/e6ac303d-fda6-464c-8b64-9469cd42c9de/ENCFF654ERB.bigWig,human,H1,JUN
ENCFF002UPS,hg19,"[1, 2]",bigWig,731222796,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/06/17/66739802-764c-47c0-9e12-04bea4dbb868/ENCFF002UPS.bigWig,human,GM12878,POLR2AphosphoS5
ENCFF321KVH,hg19,"[1, 2]",bigWig,727267861,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/12/08/0a2831ec-3746-4f0c-bf9b-0350e4d9f3ce/ENCFF321KVH.bigWig,human,HepG2,FOSL2
ENCFF939BRP,hg19,"[1, 2]",bigWig,727067260,fold change over control,released,https://encode-public.s3.amazonaws.com/2018/11/19/c98eed10-a466-4d3d-bc4c-d55b01a61256/ENCFF939BRP.bigWig,human,HepG2,3xFLAG-RFXANK
ENCFF111BSU,hg19,"[1, 2]",bigWig,724984810,fold change over control,released,https://encode-public.s3.amazonaws.com/2018/02/26/5686afc9-e147-47ce-924e-5380e110febe/ENCFF111BSU.bigWig,human,K562,SREBF1
ENCFF389EFB,hg19,"[1, 2]",bigWig,721244975,fold change over control,released,https://encode-public.s3.amazonaws.com/2018/11/19/d6323f4f-573b-4129-837c-1f26fdb5c7aa/ENCFF389EFB.bigWig,human,HepG2,3xFLAG-KDM1A
ENCFF996TKN,hg19,"[1, 2]",bigWig,720805882,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/07/07/9a399080-5c7d-4dc6-8731-cf5158f4d7d7/ENCFF996TKN.bigWig,human,GM12878,NFIC
ENCFF984XUV,hg19,"[1, 2]",bigWig,719435770,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/12/15/53abf333-9942-4709-b301-294550b97c26/ENCFF984XUV.bigWig,human,A549,CTCF
ENCFF769QZE,hg19,"[1, 2]",bigWig,712953870,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/04/23/6d9dbab3-fa37-4cb3-bd9f-c8fd5418407c/ENCFF769QZE.bigWig,human,K562,eGFP-CUX1
